nombre	formato de link 	mostrar	linkColumn	logo
Kakobuy	https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7270250390&affcode=hc9hzs	SI	linkKakobuy	https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/b6/7e/d2/b67ed289-2dee-c62b-39a9-0afbd509f379/AppIcon-0-0-1x_U007emarketing-0-6-0-85-220.png/1200x630wa.jpg
USFans	https://www.usfans.com/product/3/6867978837?ref=RCGD5Y	SI	linkUsfans	https://s3-eu-west-1.amazonaws.com/tpd/logos/6825a376b16be873d3c23e82/0x0.png
Mulebuy	https://mulebuy.com/product/?shop_type=weidian&id=6867978837&ref=200642502	SI	linkMulebuy	https://play-lh.googleusercontent.com/me8g4K2VHs3N83yTMrIrl3pbNeTGl7j1zWECI6l3NtGEfb1-hUyx2qv1Xuny70Tp-aA
Joyagoo	https://joyagoo.com/product?platform=WEIDIAN&id=6867978837&ref=300768147	SI	linkJoyagoo	https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/ee/a4/16/eea41644-dd37-7212-9eac-ce82b8512c5e/AppIcon-0-0-1x_U007emarketing-0-6-0-0-85-220.png/512x512bb.jpg
Oppbuy	https://oopbuy.com/product/weidian/7270250390?inviteCode=GH40R4J0O	SI	linkOppbuy	https://play-lh.googleusercontent.com/Xd2k3p7CXVEDP3OsbQW986WN-Jo3LAGGeL7iJIBHdAkdRdisugQUISqfbWPp060vHjx1=s512-rw
Litbuy	https://litbuy.net/product/weidian/6867978837?inviteCode=YBMHFG55L	SI	linkLitbuy	https://litbuy.net/favicon.ico
hipobuy	https://hipobuy.com/product/weidian/6867978837?inviteCode=YZKOGE9NE	SI	linkHipobuy	https://play-lh.googleusercontent.com/wVlXLNuLd1NFyct0v9tLwimELSNB4arK5-ivLFrZM_R8sd9OWOtAGlQ-G2iMXB9HmknWwl_fVLfdhSBIEeA_Ng
superbuy	https://www.superbuy.com/en/page/buy/?platform=WD&id=6867978837&partnercode=Ey3NrI	SI	linkSuperbuy	https://play-lh.googleusercontent.com/w6hnKJbR0JHOloGbhPDrZixe9sGMkBmQVh5RcHYko2ahiHtMHaKV9zOmOCKsjbNZ1UI
Acbuy 	https://www.acbuy.com/product?id=6867978837&u=UD3WIU&source=WD	SI	linkacbuy	https://play-lh.googleusercontent.com/fh1ZfpdJU9HTop5oWvO72o52bKDkYlXbxp87DkTdCn78eWX4-xYFVhyaCLMJ447p9g
